name,gre,lang,gpa,,
"Carnegie Mellon University",328,94.16666667,73,,
"Clemson University",311,91.66666667,82,,
"Clemson University",316,85.83333333,79.4,,
"Colorado State University",311,91.66666667,82,,
"Indiana University Bloomington",315,85,81.7,,
"Indiana University Bloomington",313,84.16666667,74.1,,
"Indiana University Bloomington",311,89.16666667,94.45,,
"North Carolina State University",324,84.16666667,72.5,,
"North Carolina State University",322,94.16666667,94.8,,
"North Carolina State University",322,90.83333333,78,,
"North Carolina State University",321,90,81,,
"North Carolina State University",320,85,74.5,,
"North Carolina State University",312,80,80.5,,
"North Carolina State University",309,89.16666667,93.9,,
"Purdue University West Lafayette",322,93.33333333,89.1,,
"Purdue University West Lafayette",322,91.66666667,87,,
"Purdue University West Lafayette",315,85.83333333,98.3,,
"Syracuse University",314,80,66.18,,
"Syracuse University",303,74.16666667,65,,
"Syracuse University",308,68.33333333,84.9,,
"University of California - Davis",315,85,81.7,,
"University of California - San Diego",315,85,81.7,,
"University of Cincinnati",315,85,81.7,,
"University of Colorado Boulder",321,89.16666667,81.2,,
"University of Colorado Boulder",312,87.5,85,,
"University of Colorado Boulder",308,75.83333333,84.3,,
"University of Connecticut",315,85,81.7,,
"University of Illinois at Urbana-Champaign",314,88.33333333,93.5,,
"University of Southern California",322,94.16666667,94.8,,
"University of Texas - Dallas",311,91.66666667,82,,
"Virginia Tech",306,90.83333333,86.8,,
California Institue of Technology,328,78,95,,
California Institue of Technology,330,92,78,,
California Institue of Technology,325,86,92,,
Cornell University,325,85,90,,
Cornell University,320,85,90,,
Cornell University,328,88,90,,
Duke University,327,85,89,,
Duke University,319,94,94,,
Duke University,325,88,94,,
Emory University,303,72,65,,
Emory University,303,72,67,,
Emory University,307,71,69,,
Harvard University,330,88,88,,
Harvard University,328,86,90,,
Harvard University,331,78,86,,
Massachusetts Institute of Technology,332,87,86,,
Massachusetts Institute of Technology,335,90,87,,
Massachusetts Institute of Technology,330,92,90,,
Michigan State University,304,70,64,,
Michigan State University,302,71,68,,
Michigan State University,306,74,70,,
Northwestern University,322,85,78,,
Northwestern University,319,88,85,,
Northwestern University,320,87,78,,
Princeton University,328,92,89,,
Princeton University,325,88,92,,
Princeton University,330,86,78,,
Stanford University,328,92,87,,
Stanford University,330,90,90,,
Stanford University,325,92,95,,
"University of California , Berkeley",325,89,90,,
"University of California , Berkeley",322,88,94,,
"University of California , Berkeley",319,94,90,,
"University of California , Santa Barbara",302,71,78,,
"University of California , Santa Barbara",303,74,64,,
"University of California , Santa Barbara",307,73,73,,
"University of California,Irvine",303,73,63,,
"University of California,Irvine",305,74,70,,
"University of California,Irvine",306,76,63,,
University of Maryland,305,70,67,,
University of Maryland,303,75,65,,
University of Maryland,309,76,71,,
university of Michagan,323,90,92,,
university of Michagan,325,94,85,,
university of Michagan,322,87,90,,
University of Minnesota,302,71,62,,
University of Minnesota,304,70,69,,
University of Minnesota,305,75,65,,
University of Pennsylvenia,322,89,95,,
University of Pennsylvenia,322,85,85,,
University of Pennsylvenia,325,94,90,,
University of Pittsburgh,302,73,79,,
University of Pittsburgh,304,73,63,,
University of Pittsburgh,306,72,68,,
